id,match
kasten_blau_45_9_0404,weis es aber nit. <mark>Izt</mark> steht bey ewer Durchlaucht
kasten_blau_45_8_0322,"ein PostscriptumPS berichten. Mues <mark>izt</mark> schliesen, deswegen weil balt"
kasten_blau_45_9_0214,"zue ihm haben, aber <mark>izt</mark> ist hart, wen ihr"
kasten_blau_45_8_0401,mihr schreibt er auch <mark>izt</mark> deils wirt schon übermacht
kasten_blau_45_8_0411,"anders schikt. Weil ich <mark>izt</mark> auser des betts, so"
kasten_blau_45_8_0389,"disfals imploriren, dan ich <mark>izt</mark> gahr bescheftigt mit der"
kasten_blau_45_15_0482,"auf, dan ewer Durchlaucht <mark>izt</mark> das leßen nit gutt"
kasten_blau_45_15_0211,zue Preßlaw geweßen vnd <mark>izt</mark> hier Procurator der bemischen
kasten_blau_45_15_0303,wirt vns bey stehen. <mark>Izt</mark> mit den türken ein
kasten_blau_45_9_0184,"seint arme bedrüebte weiber. <mark>Izt</mark> weis ich erst, wie"
korrespondenzakten_1147_0103,"schreiben. Weil er aber <mark>izt</mark> nit kombt, so bleibt"
kasten_blau_45_9_0256,"grab alles vericht. Will <mark>izt</mark> alles wider herrein bringen,"
kasten_blau_45_8_0437,"500 pfundlb gewogen hatt. <mark>Izt</mark> brauch ich mein cuhr,"
kasten_blau_45_9_0479,"reden können, dan ich <mark>izt</mark> noch in arest vnd"
kasten_blau_45_8_0252,"duen. PaterP Isidorus ist <mark>izt</mark> in dem podagra fast,"
kasten_blau_45_15_0637,"Auch die predigen nachmitag <mark>izt</mark> seint, die vill zeit"
kasten_blau_45_15_0066,vnd werde mich gewis <mark>izt</mark> beßren. Mueß also erst
kasten_blau_45_8_0261,"gnadeg. Ich befindt mich <mark>izt</mark> wohl auf, werde diese"
kasten_blau_44_9_0092,wenden. Wegen Napoli ist <mark>izt</mark> alles still vnd habens
kasten_blau_45_9_0075,"haben zue duen, aber <mark>izt</mark>, vermeinen sie, seye es"
kasten_blau_45_9_0474,etwas aus zue richten. <mark>Izt</mark> aber wirt es schwerlich
kasten_blau_44_8_0148,whrin dergleichen zu schiken. <mark>Izt</mark> kommen nuhr gleich
kasten_blau_45_9_0332,vnd die caualerie wirt <mark>izt</mark> auch schon vnten sein.
kasten_blau_45_15_0715,"starkh beklagen, das er <mark>izt</mark> nit ist Reichshoffraht worden."
kasten_blau_44_7_0111,"auf dich, in sonderheit <mark>izt</mark> in dem sauoischen gefahrligen"
kasten_blau_45_9_0058,orten vill zue duen. <mark>Izt</mark> erwarten ir Mayestät der
kasten_blau_45_15_0026,ist es ihm vergangen. <mark>Izt</mark> auf den abent hatt
kasten_blau_44_6_0066,"nit, das dero Liebden <mark>izt</mark> etwas drin schreiben oder"
emt___77-8806c-2,"machen, waß sie wollen. <mark>Izt</mark> kom wider, etwelche puncta"
kasten_blau_44_10_0369,"zu curz worden, dan <mark>izt</mark> gleich zue poßeken vndt"
kasten_blau_45_15_0511,"dero gesuntheit, an deren <mark>izt</mark> alles ligt, conseruiren, so"
kasten_blau_45_7_0319,von wegen des Fukers. <mark>Izt</mark> werden die tirolischen sachen
kasten_blau_45_9_0151,"die postulation gelükhlich abgangen. <mark>Izt</mark> hoffe, werde zue Rohm"
kasten_blau_45_9_0489,stabiliren durch seine brüeder. <mark>Izt</mark> aber ist die Erzherzogin
kasten_blau_44_6_0249,"sagen, warumb ihr Mayestät <mark>izt</mark> ein bedenken haben, es"
kasten_blau_45_15_0508,"nit beantworten können vnd <mark>izt</mark> die gelegenheit, das der"
korrespondenzakten_1147_0060,"kein supson hatt, welcher <mark>izt</mark> auch schon droben wirt"
kasten_blau_45_8_0367,"vom Schellerer. Es steht <mark>izt</mark> zue erwarten, was der"
kasten_blau_45_7_0177,"Liebden nit verhalten, das <mark>izt</mark> der Bischoff von Osnabrukh"
kasten_blau_45_9_0061,alles höchstvernünftig vnd nötig. <mark>Izt</mark> arbeit man fleisigist an
kasten_blau_44_11_0255,Pfilip sehligensehl seiner dochter. <mark>Izt</mark> duet sich widrumb ein
kasten_blau_45_9_0263,sollen die opperationen anfangen. <mark>Izt</mark> ist der Cuhrfürst von
kasten_blau_44_10_0034,ist zu eng vndt <mark>izt</mark> habens niks mehr als
kasten_blau_45_15_0388,"Herzoch von MantuaMantMantua wird <mark>izt</mark> gleich ankommen, mihr werden"
kasten_blau_45_9_0354,"schuldich gewesen, vnd ich <mark>izt</mark> vermeint, das meine brüeder"
kasten_blau_45_8_0444,ermanglen wirt. Sie seint <mark>izt</mark> einmahl mit ihren compi-
kasten_blau_45_9_0366,"verhalten. Weil die zeit <mark>izt</mark> kurz, werd ewer Durchlaucht"
kasten_blau_44_9_0171,"einmahl ausfürlich schreiben, dan <mark>izt</mark> zu schpaht ist. Wegen"
kasten_blau_45_15_0874,"gehet. Es ist auch <mark>izt</mark> das wetter nit guet,"
kasten_blau_45_8_0380,"lieber man. Ich mein <mark>izt</mark>, ich kan der zeit"
kasten_blau_44_2d_0045,"mangel der zeit ist <mark>izt</mark> vnterlaßen worden, hoffe aber,"
kasten_blau_44_7_0312,beys ist deran schuldig. <mark>Izt</mark> bin in etlich im
kasten_blau_45_15_0761,"woll, meine brif werden <mark>izt</mark> zimlich kurz sein, dan"
kasten_blau_44_6_0218,verhoffen verkaufen finde ich <mark>izt</mark> aus fillen vhrsachen gahr
kasten_blau_45_9_0205,seinem willen verleyen wolle. <mark>Izt</mark> gleich müeßen zue der
kasten_blau_45_9_0187,"nit gutt, wan er <mark>izt</mark> solt sterben. Heüt ist"
kasten_blau_45_8_0414,terzian vndt die kräftig. <mark>Izt</mark> ist der meiste krieg
kasten_blau_45_9_0126,kan. Ihr Mayestät haben <mark>izt</mark> den Stratman woll lernen
kasten_blau_45_9_0441,"geweßen, dah er doch <mark>izt</mark> nuhr dahin derf, woh"
kasten_blau_45_15_0779,frawf schwester zue sehen. <mark>Izt</mark> werden mihr den 14ten
emt___77-8806c-3,er selbigs mahl vndt <mark>izt</mark> ist. Ich hab ihn
korrespondenzakten_1147_0030,"sie sey gestorben, vnd <mark>izt</mark> hab ich ein brif"
kasten_blau_45_8_0495,"ein vngeschmachs loch hier <mark>izt</mark> im winter, im sommer"
kasten_blau_45_7_0221,alle relation haben gedahn. <mark>Izt</mark> auf die antwort deren
korrespondenzakten_1147_0044,"daruon gedragen, vnmüglich ist <mark>izt</mark> die music abzueschreiben, dero"
kasten_blau_45_9_0448,sie zue zue tresten. <mark>Izt</mark> kombt die Kaiserin. Ewer
kasten_blau_45_9_0340,Starenbeg kranker wekgefürt worden. <mark>Izt</mark> haben ihr Mayestät zwar
kasten_blau_45_9_0219,"dienen, wie sie sich <mark>izt</mark> erzeigen, vnd wan der"
kasten_blau_44_6_0266,"der, hoffe ich, werde <mark>izt</mark> auch balt wider vergehn."
kasten_blau_45_7_0382,"Rahb, weil er auch <mark>izt</mark> Cardinal, werden dero Liebden"
kasten_blau_45_7_0365,dazu bin angedriben worden. <mark>Izt</mark> hoff ich es vmb
kasten_blau_45_9_0375,"Wilhelm betreffent, hatt er <mark>izt</mark> das fieber gehabt, der"
kasten_blau_45_9_0275,"mich haben. Er ist <mark>izt</mark> in ein bad gereist,"
kasten_blau_45_9_0190,der belegrung hinein kommen. <mark>Izt</mark> wirt sie aber schon
kasten_blau_44_11_0176,"cattarr daran verhindert, welches <mark>izt</mark> schon wider gutt. Due"
kasten_blau_45_15_0590,"wider herz bekommen, die <mark>izt</mark> scheinen in einer zimligen"
kasten_blau_45_8_0493,"in dergleichen occasionen geschicht. <mark>Izt</mark>, hoff ich, solt der"
kasten_blau_45_15_0664,schreiben möchte mihr schaden. <mark>Izt</mark> gottlob befind ich mich
kasten_blau_44_8_0415,anweisungen mögen transportit werden. <mark>Izt</mark> aber hab ein unuerhoffte
kasten_blau_45_8_0341,"befleisen zu volligchen, aber <mark>izt</mark> auf der reis ist"
kasten_blau_45_15_0497,den 7ten novembris9br 1688 <mark>Izt</mark> gleich empfange ewer Durchlaucht
kasten_blau_45_8_0020,"aber ihr Mayestät haben <mark>izt</mark> gahr vill zu duen,"
kasten_blau_45_8_0405,"beßer ist, hoffe, werdt <mark>izt</mark> ein bestandt haben. Hoffe"
kasten_blau_45_8_0422,"nit so weit kommen. <mark>Izt</mark> aber ligt sie auch,"
kasten_blau_44_2d_0022,"fleisig recomendiren, sie ist <mark>izt</mark> auch hier, ist ein"
korrespondenzakten_1147_0033,balt als möglich. Seint <mark>izt</mark> zwar sehr beschefftigt die
kasten_blau_45_9_0104,"ebenfals der meinung, welches <mark>izt</mark> vmb so vill desto"
kasten_blau_45_15_0845,"ist. Hetten mihr nuhr <mark>izt</mark> den Deütschmeister wider heraus,"
kasten_blau_44_2d_0042,"Zweifle nit, es werde <mark>izt</mark> bestendig sein vndt ich"
korrespondenzakten_1147_0051,man sich zue verlaßen. <mark>Izt</mark> seint mihr hier schon
kasten_blau_45_15_0167,deil vom 3ten act. <mark>Izt</mark> wirt balt der rest
kasten_blau_45_7_0169,"verschoben. Weilen er aber <mark>izt</mark> entlich expedirt ist, so"
kasten_blau_44_7_0226,"sein, vndt wurden sie <mark>izt</mark> kein geistligen zu ihr"
kasten_blau_45_9_0124,"nit bedienet hab. Ist <mark>izt</mark> mit der reis, der"
kasten_blau_45_15_0375,"erfolgen mögen. Weil aber <mark>izt</mark> als gericht, das ewer"
kasten_blau_44_6_0336,"dero Liebden sagen, aber <mark>izt</mark> hart zu remediren. Soll"
kasten_blau_45_9_0090,"disgustiren wurden, welche sich <mark>izt</mark> so eifrich in diser"
kasten_blau_45_8_0464,"absonderligs geweßen, befinden sich <mark>izt</mark> alle wohl. Mein Mari"
kasten_blau_45_8_0432,"währe gestanden. Gottlob, das <mark>izt</mark> ewer Durchlaucht sich ganz"
kasten_blau_45_9_0175,"so guett fechtet als <mark>izt</mark>, so seint mihr türken"
kasten_blau_45_9_0326,"brüder halt ich daruohr, <mark>izt</mark> werden schon beyde oder"
kasten_blau_45_9_0278,"beyzueschließen. Vnsere leüt seint <mark>izt</mark> beysammen auf 35 000,"
kasten_blau_45_15_0231,vnterdehnigstevt trewgehorsamstetrwghos dochter EMT <mark>Izt</mark> gleich bekom ewer Durchlaucht
kasten_blau_45_15_0422,"abgangen, die hirsch schreien <mark>izt</mark> schon, ihr Mayestät seint"
kasten_blau_45_8_0376,"schon bey ewer Durchlaucht <mark>izt</mark> sein, ist wohl ein"
korrespondenzakten_1147_0005,"Liebden müeßen, als die <mark>izt</mark> an vatter stell sein,"
