id,match
kasten_blau_45_7_0335,vnd 18ten dis verschoben. <mark>Iezt</mark> kombt auch sein abreis
kasten_blau_44_3f_0025,"also, dero Liebden wollens <mark>iezt</mark> dem Deütschmeister conferiren als"
kasten_blau_44_6_0043,"officir estimirt. Hier ist <mark>iezt</mark> schandtlich schandtlich wetter, hoff"
kasten_blau_45_15_0236,"kommen, also will ich <mark>iezt</mark> nuhr mein vnterdehnigstevd schuldich-"
kasten_blau_45_7_0408,bekomen habe. Weilen dan <mark>iezt</mark> das vohrnemste vnd nötigste
kasten_blau_45_8_0485,"worden, befindt mich aber <mark>iezt</mark> wohl auf. Ist mihr"
kasten_blau_44_2d_0004,ich gahr sehr verlange. <mark>Iezt</mark> ist es hier so
kasten_blau_45_8_0394,"montag drauf das andere, <mark>iezt</mark> ist er noch matt"
kasten_blau_45_9_0304,"schreiben vom 14ten dis. <mark>Iezt</mark> verlange ich alle stundt,"
kasten_blau_45_8_0025,"getrawen etwas zu tentiren. <mark>Iezt</mark>, wan der Bischof von"
kasten_blau_45_15_0115,"auf Heidelberg vohrnemmen, dan <mark>iezt</mark> ist es hier vohr"
kasten_blau_44_7_0094,"es mihr vnmöglich, auch <mark>iezt</mark> schon die botschaffterin vndt"
kasten_blau_45_8_0184,Meine einzige sorge ist <mark>iezt</mark> allein auf das niderkommen
kasten_blau_45_15_0306,"zue beschreiben. Er wirt <mark>iezt</mark> balt hinauf, werd gern"
kasten_blau_45_9_0155,"wollen, wo es doch <mark>iezt</mark> balt kan aiustirt werden."
kasten_blau_45_9_0259,"erkrankt wehre, hab aber <mark>iezt</mark> gleich mit dem Stratman"
kasten_blau_44_2d_0031,dem üblen nahmen brengen. <mark>Iezt</mark> wirt die Königin in
kasten_blau_44_11_0055,"so laset der Kaiser <mark>iezt</mark> die abrechnung machen, hoffe,"
kasten_blau_45_15_0023,der Marta direction. Vnd <mark>iezt</mark> brauch ich auch das
kasten_blau_45_8_0035,hüpsche princesin. Er reiset <mark>iezt</mark> ins Reich vnd wirt
kasten_blau_45_8_0038,noch würklich vndt habe <mark>iezt</mark> in 20 iahren keine
kasten_blau_45_8_0092,"hez gewesen vndt werden <mark>iezt</mark> gleich zum eßen, dan"
kasten_blau_44_3f_0060,"mihr zimlich einfaltig vohr, <mark>iezt</mark> ists schon geschen, gott"
kasten_blau_44_10_0267,könte. Aus Portugall hab <mark>iezt</mark> 3 posten auf eimahl
kasten_blau_44_6_0135,"8 iahr alt. Was <mark>iezt</mark> die bewuste sach angeht,"
kasten_blau_45_8_0113,fahren können. Es ist <mark>iezt</mark> hier zimlich kalt. Befehl
kasten_blau_45_9_0004,"lantag ein mahl geschloßen, <mark>iezt</mark>, hoff ich, werden die"
kasten_blau_45_8_0084,"wie mihr ein fräuleinfr <mark>iezt</mark> bericht, welche eben von"
kasten_blau_44_11_0192,"nit vngeneigt erzeicht, dahero <mark>iezt</mark> vm so mehr verwunderlich"
kasten_blau_44_7_0124,"könftig nit anhören wurde. <mark>Iezt</mark> das haubtwerk betreffent, so"
kasten_blau_45_15_0177,"gewißlich alles ersezen, ist <mark>iezt</mark> schon schpaht, vnd morgen"
kasten_blau_44_11_0243,gahr zue gutt empfinden. <mark>Iezt</mark> wirt sie das meiste
kasten_blau_44_8_0404,er sich schon bequemen. <mark>Iezt</mark> auf das lezter schreiben
kasten_blau_45_9_0080,"schon in Schpanien abgefertigt, <mark>iezt</mark> kunten ewer Durchlaucht ohne"
kasten_blau_44_3f_0033,"nit anderst findete als <mark>iezt</mark>, sie nichts endren wurden."
kasten_blau_45_9_0483,drin gefunden. Sie haben <mark>iezt</mark> ein anders ort vohr
kasten_blau_44_6_0232,"wahl auf alle weis <mark>iezt</mark> zue verhindern, dan der"
kasten_blau_44_2d_0020,"auf der reis, vndt <mark>iezt</mark> bin ich etlige dag"
kasten_blau_45_15_0119,"auch nit, woh er <mark>iezt</mark> ist, dan ich seider"
kasten_blau_45_15_0356,warumb ihr Mayestät ihn <mark>iezt</mark> nit zum würkligen Geheimen
kasten_blau_44_11_0135,"zu kalt, befindt sich <mark>iezt</mark> zimlich woll, ich hoff,"
kasten_blau_45_8_0462,"Wie dan der lantag <mark>iezt</mark> widerumb das ansehn, als"
kasten_blau_44_7_0287,er sichs hätt ausgebettelt. <mark>Iezt</mark> auf die haubt sach
kasten_blau_44_8_0441,die opera nit ausgemacht. <mark>Iezt</mark> woltens ihr Mayestät zu
kasten_blau_44_7_0186,"Iacob, vohr welchen doch <mark>iezt</mark> zimlich gutte hoffnung scheindt,"
kasten_blau_45_8_0440,"wan aber solches gleich <mark>iezt</mark> nit gieng, so geben"
emt___kasten-blau-45-11-fol-12v,Gottlob aber ist es <mark>iezt</mark> widerumb auf der beßerunge
kasten_blau_44_7_0161,sey keine mehr dah. <mark>Iezt</mark> mit des botschaffler vnglükh
kasten_blau_45_8_0362,"Ich förchte, will ers <mark>iezt</mark> nit duen, so wirt"
kasten_blau_44_3f_0046,drin brengen. Ich will <mark>iezt</mark> ein geistligen romans lasen
kasten_blau_45_9_0320,"das bruderb Franz nit <mark>iezt</mark> kommen solte, könte etwan"
kasten_blau_45_15_0345,"die nit guett seindt, <mark>iezt</mark> ist woll gahr übel,"
kasten_blau_45_8_0130,"werden zurukh reisen, dan <mark>iezt</mark> hier ihr Mayestät so"
kasten_blau_45_8_0373,mein schul- dichkeit wohl. <mark>Iezt</mark> steht aus Schpanien ein
emt___77-8806c-4,"gloriose operation duen kan. <mark>Iezt</mark> ist der Endigks hier,"
kasten_blau_44_10_0245,seiner ehr gereichet. Gottlob <mark>iezt</mark> ist hier alles woll
kasten_blau_44_10_0080,"representirn laßen, will es <mark>iezt</mark> abkürzen, dero Liebden nit"
kasten_blau_45_15_0704,zweifle ich ganz nit. <mark>Iezt</mark> werden ewer Durchlaucht schon
kasten_blau_44_6_0379,"lohb, ich bin ganz <mark>iezt</mark> woll auff bin, weil"
kasten_blau_44_8_0310,"steinschmerzen seindt inccommodirt geweßen, <mark>iezt</mark> aber befinden sich ihr"
kasten_blau_45_8_0449,Sonst laßen sie sich <mark>iezt</mark> zimlich fein ahn. Es
kasten_blau_45_8_0474,"vnser allen besten gereichet. <mark>Iezt</mark>, mein ich wohl, werden"
kasten_blau_44_7_0488,"laßen, hoff, sie soll <mark>iezt</mark> gutt gehn. Der PaterP"
kasten_blau_45_8_0144,Ewer Durchlaucht werden auch <mark>iezt</mark> schon vom Schellerer vernommen
kasten_blau_45_15_0827,wider gahr windig ist. <mark>Iezt</mark> wirt mein frawf schwester
kasten_blau_45_8_0040,"mit dem Nontius gerett. <mark>Iezt</mark> aber, wie ich ihr"
kasten_blau_44_11_0274,gereichen möchte. Es ist <mark>iezt</mark> der Stin- hop aus
kasten_blau_44_9_0077,dauon alle obligation hatt. <mark>Iezt</mark> wirt man sich hir
kasten_blau_44_7_0128,der portugeßeschen heirat ist <mark>iezt</mark> auf alleweis einzuehalten mit
kasten_blau_45_8_0477,"was ihme sehlich ist. <mark>Iezt</mark> fangt es hir an,"
kasten_blau_44_11_0152,"selber bekandt, so schwehr <mark>iezt</mark>, dah die einquartirung der"
kasten_blau_45_15_0271,"wollen sie nit capiren. <mark>Iezt</mark> aber scheint, werd balt"
kasten_blau_44_11_0234,"gutte Herzoch von Parma <mark>iezt</mark> inducirt wirt, die zu"
kasten_blau_44_7_0274,"könte, welches hoffentlich sich <mark>iezt</mark> selber schiken wirt, weil"
kasten_blau_45_8_0146,"schreiben wegen der Eglof. <mark>Iezt</mark> zehle ich alle stunden,"
kasten_blau_45_15_0018,das ihr die reis <mark>iezt</mark> nach der 13ten woch
kasten_blau_45_8_0401,"zue gott, es werde <mark>iezt</mark> beßer sein. Ich habe"
kasten_blau_45_9_0240,"ich glaubt, so müsen <mark>iezt</mark> gleich an disch gehen."
kasten_blau_45_15_0335,"gangen. Ich vermein aber <mark>iezt</mark>, dah mihrs bede der"
kasten_blau_45_8_0023,"im ertzstift leiden wolten. <mark>Iezt</mark> aber ist das ehlant,"
kasten_blau_44_10_0307,"zeit ist mihr auch <mark>iezt</mark> zimlich pretios, also due"
kasten_blau_45_8_0299,mues abrechen. Mihr seint <mark>iezt</mark> eben von vnserer walfart
kasten_blau_44_6_0034,"gutten gelegenheiten, in dem <mark>iezt</mark> alle stellen ersezt, auch"
kasten_blau_45_8_0355,der auschpurgerischen niks nachgeben. <mark>Iezt</mark> werden mihr zu den
kasten_blau_45_8_0389,"bericht geben. Ich leb <mark>iezt</mark> in höchstem verlangen, bis"
kasten_blau_45_15_0140,"erlaubt, werden ewer Durchlaucht <mark>iezt</mark> schon alles vernommen haben."
kasten_blau_44_11_0099,"wie ich hoff es <mark>iezt</mark> schon sey) restittuirt sein,"
kasten_blau_45_9_0391,"Also weil er noch <mark>iezt</mark> nit herkumbt, mein ich"
kasten_blau_45_8_0097,"seint kommen, dan es <mark>iezt</mark> so schantlich wetter, das"
kasten_blau_44_6_0243,"den effect nit erlangen. <mark>Iezt</mark> das haubt werkh betreffent,"
kasten_blau_45_15_0211,durch ein curir geschikt. <mark>Iezt</mark> wirt mein brueder schon
kasten_blau_45_15_0596,"zue gott, es werde <mark>iezt</mark> wider beßer sein, obwohl"
kasten_blau_45_15_0303,"über- schiket, ersehen haben. <mark>Iezt</mark> haben wir die predigen"
kasten_blau_45_15_0039,woll auf vnd wirt <mark>iezt</mark> balt ihr cuhr anfangen.
kasten_blau_45_15_0394,leng sich zien möchte. <mark>Iezt</mark> gleich empfange ich ewer
kasten_blau_45_9_0367,"compagnie. Der Turn ist <mark>iezt</mark> hier, ein feiner man,"
kasten_blau_45_8_0437,empfunden. Befinden sich aber <mark>iezt</mark> aller wohl auf. Ich
kasten_blau_45_9_0479,"Mein brueder Carl wirt <mark>iezt</mark> schon ankommen sein, ich"
kasten_blau_44_7_0073,"mit bruderb Carl richtig, <mark>iezt</mark>, hoff ich, werdens balt"
kasten_blau_45_8_0065,"beyden döchtern ist zwahr <mark>iezt</mark> würklich auch nit hier,"
kasten_blau_45_9_0045,"vnd die preßlawische sach <mark>iezt</mark> in crisis ist, wie"
kasten_blau_45_8_0128,"meine doch, es werde <mark>iezt</mark> balt geschloßen werden, ewer"
kasten_blau_45_8_0249,"dieses zue schreiben, vndt <mark>iezt</mark> seint ihr Mayestät nit"
kasten_blau_45_15_0658,"anderst hatt sein können, <mark>iezt</mark> sind sie aber gottlob"
kasten_blau_45_15_0728,ewer Durchlaucht wohlstandt vernommen. <mark>Iezt</mark> werden so woll mit
kasten_blau_45_9_0014,"versichert zue sein vnd <mark>iezt</mark> scheindt, das er sich"
kasten_blau_44_10_0184,"verhindert worden. Gott lob, <mark>iezt</mark> sein alle wollauf, vndt"
kasten_blau_44_7_0300,"ihr Mayestät, er werd <mark>iezt</mark> nit abkommen können, dan"
kasten_blau_45_9_0382,"machen könten, nit das <mark>iezt</mark> etwas soliches zue gedenken,"
kasten_blau_45_8_0250,"werden, dan ich mich <mark>iezt</mark> widerumb wohlauf befindt. Was"
kasten_blau_44_11_0044,"erzeiget, erkenntlich zu zeigen. <mark>Iezt</mark> hoff ich in balt"
korrespondenzakten_1147_0167,Liebden dis wider wie <mark>iezt</mark> vndt könns dem Herzoch
kasten_blau_44_10_0232,"gott, das sie sich <mark>iezt</mark> in beßer gesuntheit befinden"
kasten_blau_45_15_0028,"der wirt hoffent- lich <mark>iezt</mark> sich beßer conseruiren, dan"
kasten_blau_44_7_0408,"kindern continuiren, deßen sie <mark>iezt</mark> in der osna- brukischen"
kasten_blau_45_15_0322,werden. Es wirt aber <mark>iezt</mark> von Laxenburg aus der
kasten_blau_44_10_0213,"gescheen. Gottlob, hier ist <mark>iezt</mark> alles woll auf, gott"
kasten_blau_44_9_0098,"in was sorgen ich <mark>iezt</mark> gesezt bin, meinen sohn"
kasten_blau_44_11_0030,es nit gern abbandonire. <mark>Iezt</mark> haben die vnsrigen schon
kasten_blau_44_8_0148,"aber, mihr haben ihn <mark>iezt</mark> recht gewonen vndt das"
kasten_blau_45_8_0054,ihr Durchlaucht nit angenehm. <mark>Iezt</mark> habe ich widerumb erlaubnus
kasten_blau_45_8_0058,"schreiben, habe auch eben <mark>iezt</mark> von dem Grau Wolf"
kasten_blau_44_7_0111,"glauben. Er ist entlich <mark>iezt</mark> dort ein verpflichter diener,"
kasten_blau_45_15_0198,"So schikt er mihr <mark>iezt</mark> dis bey ligende, niks"
kasten_blau_45_15_0237,"hier, also hatt sich <mark>iezt</mark> weiters niks duen laßen."
kasten_blau_45_15_0187,"glükhlige campagna, die mihr <mark>iezt</mark> zue vill zue wüntschen"
kasten_blau_45_15_0294,"überschreibe, das der Cauniz <mark>iezt</mark> gebracht, das der Cuhrfürst"
kasten_blau_45_15_0026,das er nit antworten <mark>iezt</mark> kann. Ich geh nit
kasten_blau_45_8_0031,brengen können vndt mues <mark>iezt</mark> widerumb ein wehnig still
kasten_blau_44_11_0189,der von Srin sich <mark>iezt</mark> gahr woll aufürt vndt
korrespondenzakten_1147_0001,"hören. Dero Liebden vertretten <mark>iezt</mark> die stel eines vatteren,"
kasten_blau_45_15_0290,"gedan von der wahl, <mark>iezt</mark> wirt man recht überlegen,"
kasten_blau_45_8_0247,"Es schreibt mihr aber <mark>iezt</mark> der Wangen, das sie"
kasten_blau_44_10_0283,"sich anemmen, wie sie <mark>iezt</mark> als Reichs Vicarius die"
kasten_blau_45_8_0277,"ihr antwort bekommen haben. <mark>Iezt</mark> was bruderb Ludwich anbelangt,"
kasten_blau_45_9_0402,hier so übel vnd <mark>iezt</mark> ein 2 dag sollicher
kasten_blau_44_6_0384,"könte, es ist zwar <mark>iezt</mark> ein bistumb in Vngern"
kasten_blau_45_8_0223,Deütschmeisters vndt kan ich <mark>iezt</mark> ewer Durchlaucht nichts weiters
kasten_blau_45_9_0011,keit geweßen zue schreiben. <mark>Iezt</mark> will ich mich aber
kasten_blau_44_10_0129,"hatt der König August <mark>iezt</mark> die beste gelegenheit, in"
kasten_blau_45_15_0191,ist schpaht aus worden. <mark>Iezt</mark> ist schon schpatt vnd
kasten_blau_44_10_0058,seiner wäre verhindert worden. <mark>Iezt</mark> aber mues mans schon
kasten_blau_45_15_0817,"vermeinen ihr Mayestät, sey <mark>iezt</mark> niks anderst zue duen,"
kasten_blau_45_15_0174,werden. Ewer Durchlaucht werden <mark>iezt</mark> schon alles empfangen haben.
kasten_blau_45_8_0294,etwas hart her gehn. <mark>Iezt</mark> seindt mihr auf einer
kasten_blau_45_8_0307,"wandern müeßen, welches mihr <mark>iezt</mark> zwar gahr nit gelegen,"
kasten_blau_44_11_0203,wirt das atesta- tum <mark>iezt</mark> dero Liebden schon bekomen
kasten_blau_44_10_0362,"die perpetuirlige capitulation, so <mark>iezt</mark> nit woll wirt könen"
kasten_blau_45_15_0015,"wirt. Weil der fasching <mark>iezt</mark> so naht, so hoff"
kasten_blau_45_9_0007,"lateinsch, so er gelernt. <mark>Iezt</mark>, hoffe ich, werde es"
kasten_blau_45_9_0246,"hatt. Wegen Portugal steht <mark>iezt</mark> zue gewarten, was weiters"
kasten_blau_45_15_0753,vnd ich mein cuolauch <mark>iezt</mark> ist gan ein kohilste
kasten_blau_44_8_0305,comissari ein displinz bezeigen. <mark>Iezt</mark> bekom gleich mit einem
kasten_blau_44_6_0437,"solle diese reis verhindern, <mark>iezt</mark> kan er nit wehniger"
kasten_blau_45_15_0298,"seindt, hoff, es werd <mark>iezt</mark> ein rechten bestandt haben."
kasten_blau_45_9_0426,vnfehlbar ewer Durchlaucht überschiken. <mark>Iezt</mark> gleich ist der Strathman
kasten_blau_45_15_0339,"Mayestät resolution gehorsamstghor veberschriben. <mark>Iezt</mark>, hör ich aber, wirt"
kasten_blau_45_15_0108,dem sich die Keiserin <mark>iezt</mark> auf den abent so
kasten_blau_45_9_0031,soll balt beßer werden. <mark>Iezt</mark> wirt der PaterP General
kasten_blau_44_7_0521,"vnd cührze der zeit <mark>iezt</mark> nit zuelast, wirt doch"
kasten_blau_45_8_0367,"schuldig daran geweßen, will <mark>iezt</mark> schon alles fleisiger herein"
kasten_blau_45_8_0103,"er zu mihr kommen. <mark>Iezt</mark> steht zu erwarten, was"
kasten_blau_44_7_0335,vndt mitt allen vmbständen. <mark>Iezt</mark> mus man auf ein
kasten_blau_44_7_0089,"dero Liebden vohrwort erhalten. <mark>Iezt</mark> kan nit vnterlaßen, dero"
kasten_blau_44_7_0427,"werden wurde. Es ist <mark>iezt</mark> kein zeit zue verliren,"
kasten_blau_45_8_0178,schpanischen Niderlanden hab ich <mark>iezt</mark> weniger hofnung als nie
kasten_blau_45_8_0071,"sagen, wan man ihnen <mark>iezt</mark> gleich die brief gibt,"
kasten_blau_45_8_0093,"worden, wie wohl hier <mark>iezt</mark> noch ein solliches warmes"
kasten_blau_45_15_0257,"zue vernemmen, vnd wirt <mark>iezt</mark> der Cauniz schon ankommen"
kasten_blau_45_8_0435,"genuech, das sie es <mark>iezt</mark> können, sondern sie müeßen"
kasten_blau_45_8_0215,"fleis nachkommen, allein ist <mark>iezt</mark>, das der guette Hoher"
kasten_blau_44_8_0219,anders closter verlange vnd <mark>iezt</mark> wider woll auf Neüburg.
kasten_blau_44_6_0046,"empfangen haben. Ach, wehren <mark>iezt</mark> die schiff dah, waß"
kasten_blau_44_7_0067,"beantwortet hab, das auch <mark>iezt</mark> wegen kürze der zeit"
kasten_blau_44_11_0255,"habe, das man hir <mark>iezt</mark> wehnig mehr vohr sie"
kasten_blau_45_15_0126,"bekommen. Der mahler wirt <mark>iezt</mark> balt wekh, so wirt"
kasten_blau_45_9_0263,an mein statt vergelten. <mark>Iezt</mark> befind mich gahr woll.
kasten_blau_44_10_0034,damit auf gehalten worden. <mark>Iezt</mark> wirt man gleich 3000
kasten_blau_45_8_0004,ganz perfect vnd ich <mark>iezt</mark> erst mitleiden mit meinem
kasten_blau_45_15_0388,"mit, auch ein guarde. <mark>Iezt</mark> wirts starkh ahn gehen,"
kasten_blau_45_9_0354,auch schon längst gesacht. <mark>Iezt</mark> gleich bekomme ich ewer
kasten_blau_45_15_0473,"kommen, dan ihr Mayestät <mark>iezt</mark> in disen coniuncturen, wie"
kasten_blau_45_8_0034,"förchte, ihr Durchlaucht werden <mark>iezt</mark> wehnig schpas haben, weilen"
kasten_blau_45_8_0078,"weiters sein gnad, das <mark>iezt</mark> die gesuntheit möge bestendig"
kasten_blau_45_8_0075,Emerik daruon reden soll. <mark>Iezt</mark> aber derf ich gahr
kasten_blau_44_9_0171,"sein, das, nach dem <mark>iezt</mark> scheindt von Schweden nit"
kasten_blau_45_15_0021,"antretten, weil sie sich <mark>iezt</mark> woll auf befindt vnd"
emt___kasten-blau-45-11-fol-24v,"hochzeit sein solle, wirt <mark>iezt</mark> daruon gerett werden, werde"
kasten_blau_45_9_0429,"einfalt nit finde, das <mark>iezt</mark> bey diser so reis"
kasten_blau_45_9_0033,"regiment hatt er auch <mark>iezt</mark> niks können duen, weil"
kasten_blau_45_15_0137,"kirch zue bracht, vnd <mark>iezt</mark> seint schon alle frawen"
kasten_blau_45_8_0380,"wohl auf Wien kommen, <mark>iezt</mark> geht die Königin auch"
kasten_blau_45_9_0025,schuldichkeit. Befind mich auch <mark>iezt</mark> gottlob schon längst vollich
kasten_blau_45_15_0148,"schreiben aufzuewarten, welches ich <mark>iezt</mark> gleich empfangen vom 21ten"
kasten_blau_44_6_0184,möchte gedeien. Auch liegt <mark>iezt</mark> der arme GravGr von
kasten_blau_45_15_0282,den 8ten feberfebr 1688 <mark>Iezt</mark> gleich bekommen ihr Mayestät
kasten_blau_44_6_0218,"dem dienst, den sie <mark>iezt</mark> hatt. Wegen Lüttich wirt"
kasten_blau_45_15_0217,über Schpanien. Sonst gibt <mark>iezt</mark> hier ganz niks so
kasten_blau_45_9_0049,wahr er allein. Auch <mark>iezt</mark> nach des DoctorDr Hueber
kasten_blau_45_9_0187,"hin, wan er gleich <mark>iezt</mark> nit vill duet. Sag"
kasten_blau_45_8_0357,SanktS Pantaleon. Es wirt <mark>iezt</mark> balt die Königin in
kasten_blau_45_8_0414,aber ich werd ihm <mark>iezt</mark> widerum nachmitag etwas geben
kasten_blau_45_15_0260,meins herrnh brudern brif <mark>iezt</mark> mit geschikt. Mihr haben
kasten_blau_45_8_0467,"zeit. Zu Eberstorf wer <mark>iezt</mark> niks mehr, so der"
kasten_blau_44_7_0006,Schallenberg werdens ihr Mayestät <mark>iezt</mark> gleich überlegen laßen vndt
kasten_blau_45_15_0085,"gahr zue occupirt. Hoff <mark>iezt</mark> woll, in kurzem ein"
kasten_blau_45_8_0453,"gebett von gott erhalten. <mark>Iezt</mark> meinen sie, bis sambstag"
kasten_blau_45_9_0295,kintlige lieb bekant ist. <mark>Iezt</mark> werde schon alle dag
kasten_blau_45_15_0070,in guetter gesuntheit befinden. <mark>Iezt</mark> kom ich aber auf
kasten_blau_45_8_0012,"Mayestät gnädigstg eingewilliget. Was <mark>iezt</mark> Trient vnd Brixen anlanget,"
kasten_blau_45_8_0087,"könne sein, will aber <mark>iezt</mark> ihr Mayestät widerumb anmahnen,"
kasten_blau_44_6_0416,"ihn nit geleßen bis <mark>iezt</mark>, das ihn hab beant-"
kasten_blau_45_15_0250,"werden. Der Deütschmeister ist <mark>iezt</mark> hier, befindt sich gottlob"
kasten_blau_45_8_0118,vngenahden aufzuenemmen. Weil auch <mark>iezt</mark> die heiligenh feyerdag vndt
kasten_blau_45_8_0495,niks. Sie haben doch <mark>iezt</mark> einmahl anfangen die articulos
kasten_blau_44_11_0140,"der Doganella wirt sich <mark>iezt</mark>, dah der Wiser wekh"
kasten_blau_45_15_0146,"auf ihn componiren. Werden <mark>iezt</mark> fleisig dran sein, 6"
kasten_blau_45_8_0121,Sie befint sich aber <mark>iezt</mark> wider wohl vndt wirt
kasten_blau_45_8_0168,verhindert. Es geht vns <mark>iezt</mark> hier auch schlecht mit
kasten_blau_45_9_0071,Schwarzenberg. Mit Presslaw ist <mark>iezt</mark> gahr meines erachtens nit
kasten_blau_44_9_0041,"im Reich anzuefangen, welches <mark>iezt</mark> ein greüligs contratempo währe."
kasten_blau_45_8_0344,auf der reis weder <mark>iezt</mark> seider anfangs zue Pardowiz
kasten_blau_45_15_0425,"klein vohr auf disen. <mark>Iezt</mark> gleich, dah mihr heim"
kasten_blau_45_15_0178,"aus, aber vill wehniger, <mark>iezt</mark> auf den abent kein"
kasten_blau_45_15_0254,"Herzoch zue sciniren, welcher <mark>iezt</mark> hier ist, sich aber"
kasten_blau_45_9_0340,insonderheit weil mit Offen <mark>iezt</mark> in crisi ist. Bis
kasten_blau_45_8_0326,"zue schpaht, dan mihr <mark>iezt</mark> baldt zum eßen werden"
kasten_blau_44_6_0228,"ihm woll treülich geraten, <mark>iezt</mark> geschichts, wie dan der"
kasten_blau_44_9_0066,"iahr niks geben haben, <mark>iezt</mark> dester mehr mitt ihrer"
kasten_blau_45_9_0047,das negotium zue bringen. <mark>Iezt</mark> erwarten wir halt die
kasten_blau_45_8_0172,"bett ist, gott gebe <mark>iezt</mark> nuhr den lieben friden,"
kasten_blau_45_15_0205,"die schwebische volker gesehn, <mark>iezt</mark> erwart meinen brudren, den"
kasten_blau_45_8_0313,"Ich befinde mich gottlob <mark>iezt</mark> ganz wohl auf, so"
kasten_blau_45_15_0644,es wirt mihr so <mark>iezt</mark> balt eingestelt werden. Ist
kasten_blau_44_6_0115,"in secula seculorum, amen. <mark>Iezt</mark> das lütsche weßen betreffent,"
kasten_blau_45_8_0281,"alles bericht, habe auch <mark>iezt</mark> vom Schellerer vernomen, das"
kasten_blau_44_11_0264,"es ein geschehen sach, <mark>iezt</mark> ist sich zue befleißen,"
kasten_blau_45_8_0378,verhoffen zue sehn vndt <mark>iezt</mark> nit sein könne. Sie
